#Types Before Cut: 11091
#Types After Cut: 9694
#Search Hits: 0
370	11	22.736	квартире
371	21	22.603	долго
372	146	22.406	был
373	16	22.240	девять
374	28	22.226	совсем
375	18	22.163	русский
376	17	22.149	кем
377	36	21.705	одна
378	29	21.501	сама
379	12	21.396	нравятся
380	8	21.089	acc
381	8	21.089	komm
382	8	21.089	nom
383	8	21.089	ааa
384	8	21.089	английский
385	8	21.089	брови
386	8	21.089	вертолет
387	8	21.089	говорящийа
388	8	21.089	говорящийб
389	8	21.089	грустно
390	8	21.089	делаешь
391	8	21.089	егэ
392	8	21.089	замечательно
393	8	21.089	звук
394	8	21.089	иду
395	8	21.089	интересного
396	8	21.089	колесико
397	8	21.089	любишь
398	8	21.089	лёва
399	8	21.089	мамой
400	8	21.089	мемы
401	8	21.089	моих
402	8	21.089	надя
403	8	21.089	неудобно
404	8	21.089	никит
405	8	21.089	одиннадцать
406	8	21.089	поехал
407	8	21.089	прихожу
408	8	21.089	смотрел
409	8	21.089	смотрела
410	8	21.089	студентов
411	8	21.089	типо
412	8	21.089	умер
413	8	21.089	учился
414	8	21.089	учится
415	8	21.089	хе
416	8	21.089	эт
417	30	20.866	чего
418	13	20.696	бывает
419	13	20.696	говорила
420	13	20.696	специально
421	14	20.328	надеюсь
422	10	20.282	интересные
423	10	20.282	рассказывала
424	40	20.237	говорить
425	27	19.525	ей
426	11	19.081	будто
427	11	19.081	знаете
428	11	19.081	отец
429	11	19.081	пошел
430	19	18.953	павел
431	19	18.953	хотел
432	12	18.490	делали
433	12	18.490	купить
434	12	18.490	семье
435	7	18.453	бабушкой
436	7	18.453	боже
437	7	18.453	буквы
438	7	18.453	двери
439	7	18.453	детство
440	7	18.453	детьми
441	7	18.453	друзьями
442	7	18.453	ездить
443	7	18.453	ехали
444	7	18.453	живёт
445	7	18.453	забыла
446	7	18.453	задание
447	7	18.453	карл
448	7	18.453	красивый
449	7	18.453	ненавижу
450	7	18.453	нету
451	7	18.453	ноль
452	7	18.453	одни
453	7	18.453	парень
454	7	18.453	понравилась
455	7	18.453	пошёл
